user input,assistant response
"I am suffering from anxiety and nervousness, shortness of breath, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, insomnia, abnormal involuntary movements, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from dizziness, insomnia, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, dizziness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, insomnia, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from dizziness, insomnia, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, insomnia, abnormal involuntary movements, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, abnormal involuntary movements.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, dizziness, abnormal involuntary movements.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, dizziness, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, depressive or psychotic symptoms, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, insomnia, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, dizziness, abnormal involuntary movements.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, chest tightness, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, dizziness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, dizziness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, abnormal involuntary movements, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, dizziness, abnormal involuntary movements, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, insomnia, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
I am suffering from depression.,You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, insomnia, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, dizziness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, insomnia, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, depressive or psychotic symptoms, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, insomnia, abnormal involuntary movements, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, abnormal involuntary movements, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, abnormal involuntary movements, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, dizziness, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, abnormal involuntary movements, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, dizziness, insomnia, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, abnormal involuntary movements.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from dizziness, insomnia, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, insomnia, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, insomnia, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, dizziness, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, dizziness, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, dizziness, insomnia, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, dizziness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, dizziness, insomnia, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, insomnia, chest tightness, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, dizziness, insomnia.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from dizziness, insomnia, abnormal involuntary movements, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, insomnia, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, insomnia, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, insomnia, chest tightness, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, dizziness, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, insomnia, abnormal involuntary movements, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, insomnia, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, depressive or psychotic symptoms, dizziness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, dizziness, insomnia, abnormal involuntary movements, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, dizziness, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, insomnia, abnormal involuntary movements, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, dizziness, chest tightness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, insomnia, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, dizziness, abnormal involuntary movements, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, insomnia, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
